"citizen","agedef","age","unit","sex","geo","time","values"
"UK","COMPLET","Y15-19","NR","F","LT",2019-01-01,0
"UK","COMPLET","Y15-19","NR","F","LU",2019-01-01,1
"UK","COMPLET","Y15-19","NR","F","MT",2019-01-01,3
"UK","COMPLET","Y15-19","NR","F","NO",2019-01-01,0
"UK","COMPLET","Y15-19","NR","F","PL",2019-01-01,0
"UK","COMPLET","Y15-19","NR","F","PT",2019-01-01,4
"UK","COMPLET","Y15-19","NR","F","SE",2019-01-01,34
"UK","COMPLET","Y15-19","NR","F","SI",2019-01-01,0
"UK","COMPLET","Y15-19","NR","F","UK",2019-01-01,0
"UK","COMPLET","Y15-19","NR","M","AT",2019-01-01,4
"UK","COMPLET","Y15-19","NR","M","BE",2019-01-01,32
"UK","COMPLET","Y15-19","NR","M","BG",2019-01-01,0
"UK","COMPLET","Y15-19","NR","M","DE",2019-01-01,105
"UK","COMPLET","Y15-19","NR","M","ES",2019-01-01,1
"UK","COMPLET","Y15-19","NR","M","FI",2019-01-01,0
"UK","COMPLET","Y15-19","NR","M","IE",2019-01-01,1
"UK","COMPLET","Y15-19","NR","M","IS",2019-01-01,0
"UK","COMPLET","Y15-19","NR","M","LI",2019-01-01,0
"UK","COMPLET","Y15-19","NR","M","LT",2019-01-01,0
"UK","COMPLET","Y15-19","NR","M","LU",2019-01-01,6
"UK","COMPLET","Y15-19","NR","M","MT",2019-01-01,1
"UK","COMPLET","Y15-19","NR","M","NO",2019-01-01,2
"UK","COMPLET","Y15-19","NR","M","PL",2019-01-01,0
"UK","COMPLET","Y15-19","NR","M","PT",2019-01-01,3
"UK","COMPLET","Y15-19","NR","M","SE",2019-01-01,26
"UK","COMPLET","Y15-19","NR","M","SI",2019-01-01,1
"UK","COMPLET","Y15-19","NR","M","UK",2019-01-01,0
"UK","COMPLET","Y15-19","NR","T","AT",2019-01-01,7
"UK","COMPLET","Y15-19","NR","T","BE",2019-01-01,65
"UK","COMPLET","Y15-19","NR","T","BG",2019-01-01,0
"UK","COMPLET","Y15-19","NR","T","DE",2019-01-01,205
"UK","COMPLET","Y15-19","NR","T","ES",2019-01-01,7
"UK","COMPLET","Y15-19","NR","T","FI",2019-01-01,1
"UK","COMPLET","Y15-19","NR","T","IE",2019-01-01,6
"UK","COMPLET","Y15-19","NR","T","IS",2019-01-01,0
"UK","COMPLET","Y15-19","NR","T","LI",2019-01-01,0
"UK","COMPLET","Y15-19","NR","T","LT",2019-01-01,0
"UK","COMPLET","Y15-19","NR","T","LU",2019-01-01,7
"UK","COMPLET","Y15-19","NR","T","MT",2019-01-01,4
"UK","COMPLET","Y15-19","NR","T","NO",2019-01-01,2
"UK","COMPLET","Y15-19","NR","T","PL",2019-01-01,0
"UK","COMPLET","Y15-19","NR","T","PT",2019-01-01,7
"UK","COMPLET","Y15-19","NR","T","SE",2019-01-01,60
"UK","COMPLET","Y15-19","NR","T","SI",2019-01-01,1
"UK","COMPLET","Y15-19","NR","T","UK",2019-01-01,0
"UK","COMPLET","Y15-64","NR","F","AT",2019-01-01,33
"UK","COMPLET","Y15-64","NR","F","BE",2019-01-01,508
"UK","COMPLET","Y15-64","NR","F","BG",2019-01-01,1
"UK","COMPLET","Y15-64","NR","F","DE",2019-01-01,3790
